route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"91-10-A-j25-1","78","S10","","S","109"
"91-10-B-j25-1","11","S10","","S","109"
"91-10-C-j25-1","65","S10","","S","109"
"91-10-E-j25-1","3849","10","","T","900"
"91-10-j25-1","37","10","","T","900"
"91-10-Y-j25-1","53","EXT","","EXT","117"
"91-11-A-j25-1","11","S11","","S","109"
"91-11-B-j25-1","327000","S11","","S","109"
"91-11-C-j25-1","3849","11","","T","900"
"91-11-D-j25-1","69","R11","","R","106"
"91-11-E-j25-1","11","SN11","","SN","109"
"91-11-F-j25-1","72","11","","EXT","117"
"91-11-j25-1","37","11","","T","900"
"91-11-K-j25-1","72","R11","","R","106"
"91-11-M-j25-1","81","S11","","S","109"
"91-11-N-j25-1","33","R11","","R","106"
"91-11-O-j25-1","33","RE11","","RE","106"
"91-11-P-j25-1","33","S11","","S","109"
"91-121-A-j25-1","87_LEX","IC121A","","IC","102"
"91-12-A-j25-1","65","S12","","S","109"
"91-12-B-j25-1","881","12","","T","900"
"91-12-C-j25-1","3849","12","","T","900"
"91-12-I-j25-1","97","R12","","R","106"
"91-12-j25-1","11","S12","","S","109"
"91-12-K-j25-1","11","RE12","","RE","106"
"91-12-L-j25-1","56","S12","","S","109"
"91-12-M-j25-1","33","R12","","R","106"
"91-13-A-j25-1","82","S13","","S","109"
"91-13-B-j25-1","3849","13","","T","900"
"91-13-C-j25-1","72","RE13","","RE","106"
"91-13-E-j25-1","65","IR13","","IR","103"
"91-13-F-j25-1","65","RE13","","RE","106"
"91-13-G-j25-1","11","R13","","R","106"
"91-13-H-j25-1","65","S13","","S","109"
"91-13-I-j25-1","82","IR13","","IR","103"
"91-13-j25-1","11","IR13","","IR","103"
"91-13-J-j25-1","11","RE13","","RE","106"
"91-13-L-j25-1","82","SN13","","SN","109"
"91-14-A-j25-1","96","S14","","S","109"
"91-14-B-j25-1","65","S14","","S","109"
"91-14-C-j25-1","11","S14","","S","109"
"91-14-D-j25-1","881","14","","T","900"
"91-14-E-j25-1","3849","14","","T","900"
"91-14-I-j25-1","65","SN14","","SN","109"
"91-14-j25-1","823","14","","T","900"
"91-15-B-j25-1","11","IR15","","IR","103"
"91-15-C-j25-1","11","S15","","S","109"
"91-15-D-j25-1","881","15","","T","900"
"91-15-E-j25-1","3849","15","","T","900"
"91-15-F-j25-1","72","15","","EXT","117"
"91-15-G-j25-1","11","15","","EXT","117"
"91-15-H-j25-1","11","IC15","","IC","102"
"91-15-I-j25-1","22","S15","","S","109"
"91-15-j25-1","823","15","","T","900"
"91-15-J-j25-1","72","R15","","R","106"
"91-15-K-j25-1","44","R15","","R","106"
"91-16-A-j25-1","11","S16","","S","109"
"91-16-B-j25-1","11","IR16","","IR","103"
"91-16-G-j25-1","11","R16","","R","106"
"91-16-H-j25-1","72","R16","","R","106"
"91-16-j25-1","823","16","","T","900"
"91-16-Y-j25-1","33","EXT","","EXT","117"
"91-17-A-j25-1","31","S17","","S","109"
"91-17-B-j25-1","33","IR17","","IR","103"
"91-17-C-j25-1","82","IR17","","IR","103"
"91-17-D-j25-1","881","17","","T","900"
"91-17-E-j25-1","3849","17","","T","900"
"91-17-F-j25-1","11","IR17","","IR","103"
"91-17-G-j25-1","82","SN17","","SN","109"
"91-17-j25-1","37","17","","T","900"
"91-17-M-j25-1","82","S17","","S","109"
"91-18-D-j25-1","46","18","","T","900"
"91-18-j25-1","881","18","","T","900"
"91-19-A-j25-1","11","S19","","S","109"
"91-19-B-j25-1","37","19","","T","900"
"91-19-G-j25-1","72","R19","","R","106"
"91-19-Y-j25-1","11","IC","","IC","102"
"91-1A-j25-1","87_LEX","001A","","TGV","101"
"91-1-A-j25-1","11","S1","","S","109"
"91-1A-Y-j25-1","72","S","","S","109"
"91-1B-j25-1","87_LEX","001B","","TGV","101"
"91-1-B-j25-1","11","S1","","S","109"
"91-1-C-j25-1","65","S1","","S","109"
"91-1-D-j25-1","11","IC1","","IC","102"
"91-1-E-j25-1","33","S1","","S","109"
"91-1F-Y-j25-1","11","R","","R","106"
"91-1G-j25-1","87_LEX","001G","","TGV","101"
"91-1-G-j25-1","72","S1","","S","109"
"91-1G-Y-j25-1","11","RE","","RE","106"
"91-1-H-j25-1","11","SN1","","SN","109"
"91-1-I-j25-1","11","SN1","","SN","109"
"91-1I-Y-j25-1","33","EXT","","EXT","117"
"91-1-j25-1","823","1","","T","900"
"91-1-J-j25-1","72","RE1","","RE","106"
"91-1J-Y-j25-1","86","IR","","IR","103"
"91-1K-Y-j25-1","11","TER","","TER","106"
"91-1-L-j25-1","72","1","","EXT","117"
"91-1-M-j25-1","11","R1","","R","106"
"91-1-N-j25-1","33","RE1","","RE","106"
"91-1-O-j25-1","72","R1","","R","106"
"91-1-P-j25-1","65","RE1","","RE","106"
"91-1P-Y-j25-1","74","RE","","RE","106"
"91-1-Q-j25-1","72","RE1","","RE","106"
"91-1V-Y-j25-1","11","RJX","","RJX","102"
"91-1X-Y-j25-1","11","RE","","RE","106"
"91-1-Y-j25-1","11","RE","","RE","106"
"91-20-A-j25-1","11","S20","","S","109"
"91-20-B-j25-1","53","S20","","S","109"
"91-20-D-j25-1","11","S20","","S","109"
"91-20-E-j25-1","22","S20","","S","109"
"91-20-F-j25-1","41","20","","T","900"
"91-20-I-j25-1","55","R20","","R","106"
"91-20-j25-1","11","S20","","S","109"
"91-20-J-j25-1","11","R20","","R","106"
"91-21-A-j25-1","53","S21","","S","109"
"91-21-B-j25-1","823","21","","T","900"
"91-21-C-j25-1","11","S21","","S","109"
"91-21-D-j25-1","11","IC21","","IC","102"
"91-21-E-j25-1","11","S21","","S","109"
"91-21-F-j25-1","65","SN21","","SN","109"
"91-21-G-j25-1","73","R21","","R","106"
"91-21-H-j25-1","33","S21","","S","109"
"91-21-I-j25-1","82","IC21","","IC","102"
"91-21-j25-1","22","S21","","S","109"
"91-21-Y-j25-1","82","IR","","IR","103"
"91-22-A-j25-1","22","S22","","S","109"
"91-22-B-j25-1","65","SN22","","SN","109"
"91-22-C-j25-1","33","S22","","S","109"
"91-22-D-j25-1","97","R22","","R","106"
"91-22-E-j25-1","44","R22","","R","106"
"91-22-j25-1","11","S22","","S","109"
"91-23-A-j25-1","22","S23","","S","109"
"91-23-B-j25-1","11","S23","","S","109"
"91-23-E-j25-1","11","R23","","R","106"
"91-23-j25-1","11","S23","","S","109"
"91-23-Y-j25-1","33","RE","","RE","106"
"91-24-A-j25-1","22","S24","","S","109"
"91-24-C-j25-1","06____","S24","","S","109"
"91-24-D-j25-1","85000","S24","","S","109"
"91-24-E-j25-1","65","S24","","S","109"
"91-24-F-j25-1","11","RE24","","RE","106"
"91-24-G-j25-1","44","R24","","R","106"
"91-24-H-j25-1","72","RE24","","RE","106"
"91-24-j25-1","11","S24","","S","109"
"91-25-A-j25-1","22","S25","","S","109"
"91-25-B-j25-1","11","S25","","S","109"
"91-25-C-j25-1","11","RE25","","RE","106"
"91-25-j25-1","11","S25","","S","109"
"91-26-A-j25-1","65","S26","","S","109"
"91-26-B-j25-1","22","S26","","S","109"
"91-26-C-j25-1","82","IR26","","IR","103"
"91-26-D-j25-1","11","IR26","","IR","103"
"91-26-E-j25-1","11","RE26","","RE","106"
"91-26-j25-1","11","S26","","S","109"
"91-26-Y-j25-1","11","SN","","SN","109"
"91-27-A-j25-1","11","IR27","","IR","103"
"91-27-B-j25-1","82","S27","","S","109"
"91-27-C-j25-1","11","27","","RB","106"
"91-27-H-j25-1","06____","27","","RB","106"
"91-27-j25-1","11","S27","","S","109"
"91-28-A-j25-1","72","R28","","R","106"
"91-28-j25-1","11","S28","","S","109"
"91-29-A-j25-1","65","S29","","S","109"
"91-29-B-j25-1","72","R29","","R","106"
"91-29-C-j25-1","72","RE29","","RE","106"
"91-29-j25-1","11","S29","","S","109"
"91-29-Y-j25-1","11","IC","","IC","102"
"91-2-A-j25-1","33","S2","","S","109"
"91-2A-Y-j25-1","11","EC","","EC","102"
"91-2-B-j25-1","11","S2","","S","109"
"91-2B-Y-j25-1","11","SN","","SN","109"
"91-2-C-j25-1","11","S2","","S","109"
"91-2C-Y-j25-1","11","EC","","EC","102"
"91-2-D-j25-1","72","2","","EXT","117"
"91-2D-Y-j25-1","33","R","","R","106"
"91-2-E-j25-1","65","S2","","S","109"
